source,target,weight1,weight2,weight3
0,14,0.08798999165971642,0.1280224525043178,0.17438364401683704
0,92,0.15005302226935313,0.13043478260869565,0.0798020414475719
0,125,0.17580872011251755,0.35951134380453753,0.4373274434014357
0,126,0.1760204081632653,0.24271844660194172,0.07283763277693474
0,152,0.23012704174228676,0.2544378698224852,0.2511721366376423
0,180,0.08050847457627118,0.4279365079365079,0.4817739975698664
0,204,0.1625754527162978,0.14309484193011648,0.05034232782923883
1,33,0.17987204724409447,0.1469933184855234,0.18248175182481755
1,57,0.4562807881773399,0.21382916908773966,0.4345063538611925
1,163,0.2565415244596132,0.16964675098124726,0.18250268913589102
2,15,0.15537346359911755,0.1759641873278237,0.24567327986492188
2,54,0.1091229099442652,0.15013586956521738,0.1653108657757118
2,65,0.2869988759835144,0.09160997732426304,0.1880055788005579
2,82,0.06262230919765166,0.27260812581913496,0.09480122324159022
2,120,0.14072970960536113,0.03333333333333333,0.07681017612524463
2,224,0.14591836734693878,0.17110036275695284,0.20259165613147917
3,195,0.2256423301958789,0.15881326352530542,0.07077006507592191
4,15,0.11723920579892845,0.24070247933884298,0.12747994934571547
4,88,0.12047459689686645,0.11693548387096774,0.04013079667063021
4,145,0.11081014528441271,0.03430321592649311,0.12422644969057987
5,12,0.09425660027790644,0.04970375246872942,0.1145467322557976
5,30,0.150974025974026,0.11660254513169575,0.14326183731282877
5,110,0.7390939597315437,0.7955307262569832,0.680709534368071
5,117,0.16176470588235295,0.2159923542529468,0.12975256487628242
5,148,0.5542740841248304,0.5058823529411764,0.17234468937875752
6,20,0.2509255450431921,0.16816367265469062,0.12693184697238408
6,103,0.09469813055470425,0.10243277848911651,0.05925677937730164
6,116,0.07827552986512525,0.13492927094668117,0.09822944457918992
6,186,0.22815533980582522,0.11474358974358975,0.14064549986880084
6,191,0.06351859590472211,0.06221198156682027,0.12947799385875128
7,32,0.13985720285594289,0.24336069531627236,0.27045075125208684
7,36,0.12772427774961986,0.16997561825148033,0.12051282051282051
7,76,0.1904145077720207,0.15384615384615385,0.2637296318648159
7,92,0.04171085189112761,0.05230633414257339,0.07361583668419423
7,111,0.2691377921031426,0.2553500181356547,0.19842688594923133
7,116,0.20110789980732174,0.08269858541893363,0.04220227989328158
7,119,0.10159876224858175,0.11799144336861069,0.11078515962036238
7,120,0.0779349714569372,0.06587926509186352,0.10078277886497065
7,134,0.05016181229773462,0.1889967637540453,0.2818363273453094
7,194,0.10749185667752445,0.04051863857374393,0.05641625255773166
8,22,0.08159531650201243,0.19722497522299304,0.21721170395869188
8,62,0.18213058419243985,0.13425393172228617,0.1672152732060566
8,84,0.09044747699143128,0.26675881133379403,0.14620505992010652
8,127,0.1522248243559719,0.1772030651340996,0.20126532226176355
8,151,0.04103024857741839,0.175284837861525,0.12920268972142174
8,178,0.6449086161879896,0.8599182004089979,0.8325581395348838
9,19,0.3360107095046853,0.1312982714233174,0.10775681341719076
9,131,0.31265822784810127,0.12203687445127305,0.39018464528668617
9,165,0.09374188522461697,0.07040417209908735,0.1453063518830804
9,186,0.18729773462783172,0.16794871794871796,0.20440829178693257
10,54,0.2085655617483133,0.16474184782608692,0.0485183033120279
10,123,0.2516222062004326,0.0888540031397174,0.17339474397182336
10,223,0.1260014566642389,0.16617842876165115,0.08062015503875969
11,31,0.09031302876480542,0.12396509286193783,0.11366906474820145
11,44,0.09621233066076859,0.283179802115319,0.15830115830115832
11,66,0.3776315789473684,0.2555123216601816,0.189158667419537
11,68,0.055734190782422297,0.1134020618556701,0.06912196423805711
11,74,0.06642066420664207,0.05681818181818182,0.24228130360205832
11,119,0.1181021144920062,0.056969151092096375,0.1551337359792925
11,198,0.2328892971979789,0.1585594013096352,0.275513640956551
11,204,0.06096579476861167,0.06006655574043262,0.16210229561014905
11,218,0.2656532754252624,0.10586176727909011,0.06702898550724638
12,42,0.3285335354300871,0.12600630031501575,0.21845386533665836
12,116,0.1411368015414258,0.13674283641639462,0.10671840892553965
12,158,0.06189083820662768,0.06824591088550479,0.10591549295774648
12,203,0.37053087757313113,0.27188405797101445,0.4881221719457014
13,16,0.28387458006718924,0.08429276315789472,0.14764737696051922
13,91,0.14754098360655737,0.09033457249070632,0.20612178443503748
13,92,0.10038882997525628,0.17170602516000885,0.10207237859573151
13,185,0.21631878557874767,0.5488029465930019,0.5625
13,192,0.19596199524940616,0.21336581970066132,0.10795220436753193
14,20,0.04648292883587001,0.18562874251497005,0.08943501393463389
14,22,0.2641785583607757,0.20094152626362735,0.20275387263339067
14,35,0.7353433835845896,0.5551569506726457,0.38440111420612816
14,36,0.2645717181956412,0.043887147335423204,0.12136752136752137
14,100,0.05725603168887288,0.17416267942583732,0.09235150528885273
14,145,0.18591479931051466,0.15620214395099544,0.19436167774467109
14,225,0.14132475194422098,0.21709063966411463,0.252111354394745
15,8,0.32078009414929387,0.09663032705649159,0.2907025662599915
15,19,0.2266845158411423,0.19970577418168448,0.10943396226415093
15,80,0.5072046109510087,0.46284634760705284,0.23913043478260868
15,97,1.0,1.0,1.0
15,109,0.25,0.5081081081081081,0.497029702970297
15,122,0.16625,0.1762977473065622,0.27743271221532095
15,149,0.20537897310513448,0.16900489396411095,0.2501616031027796
15,164,0.21462068965517242,0.18878400888395339,0.1456682852031689
15,171,0.2704802259887006,0.351159488878372,0.4380776340110906
16,102,0.10901339829476249,0.15520958083832337,0.13147220233834406
16,212,0.2632192846034215,0.28889638879514007,0.13680297397769517
16,224,0.20841836734693878,0.14066908504635228,0.24905183312262963
17,7,0.41132332878581174,0.19886363636363638,0.3301775147928995
17,48,0.05013020833333333,0.22469922151450814,0.24584717607973422
17,94,0.06415241057542768,0.1481838637094182,0.14863896848137537
17,114,0.25176233635448136,0.20028612303290416,0.622626582278481
17,177,0.13712223725755524,0.2900313971742543,0.22127446061214248
18,40,0.06948640483383686,0.16541729135432284,0.14647036617591544
18,70,0.349537037037037,0.43366336633663366,0.4954545454545454
18,223,0.2036902160718621,0.0948069241011984,0.21798449612403098
19,79,0.3895027624309392,0.2306525037936267,0.35018050541516244
19,84,0.2294509679466836,0.09191430545957152,0.0636484687083888
19,111,0.1684125705076551,0.264417845484222,0.28494815874150875
19,148,0.19267299864314788,0.338235294117647,0.24515698062792252
19,167,0.24666172106824927,0.3172962226640159,0.22044198895027625
19,186,0.05137540453074434,0.13942307692307693,0.23405930202046707
19,196,0.09624911535739562,0.6379310344827587,0.22946708463949844
19,200,0.18522301668369084,0.215829624920534,0.13023255813953488
20,8,0.2999327505043712,0.10406342913776016,0.23306689103912495
20,9,0.21777914487849892,0.19444444444444445,0.1754385964912281
20,190,0.16148915187376725,0.1334723670490094,0.039107485604606536
21,77,0.2622093023255814,0.09144295302013423,0.4547707558859975
21,116,0.13102119460500963,0.14708015959376133,0.08901285471743875
21,120,0.10225862496897493,0.20393700787401575,0.10518590998043055
21,121,0.15696887686062244,0.28115216030056356,0.36989795918367346
22,64,0.217123670956911,0.17089125102207686,0.34402730375426627
22,165,0.038171903401713836,0.061929595827900905,0.1711635750421585
23,30,0.15800865800865802,0.22521456052086414,0.12242007284500199
23,154,0.4954188481675393,0.5718849840255591,0.3361381753764393
23,165,0.11191898208257596,0.17796610169491522,0.09808881394041596
24,16,0.11086226203807391,0.19161184210526314,0.12385073012439159
