source,target,weight1,weight2,weight3
0,1,0.009385215649056209,0.019710906701708275,0.03327774408732565
0,5,0.021375624892259953,0.011912199591819734,0.005366653011061041
0,8,0.024905225778588225,0.023056864449425868,0.020473595016717812
0,23,0.011625466907290051,0.016,0.03593176593942815
0,26,0.00896645584821071,0.005469023451172559,0.015107302478484097
0,32,0.01467513358630837,0.02620638109029757,0.04136709947419251
0,39,0.010958638413421906,0.018440588207480263,0.03223270440251573
0,41,0.013770610617865558,0.027457842825326123,0.026586414445399827
0,43,0.023293202721902342,0.009159171548807656,0.02677179384382378
0,50,0.02496691662990736,0.008403361344537815,0.01146539459368985
0,53,0.0067011521279097125,0.019960355875167108,0.03963599595551063
0,66,0.007541270060238196,0.027334575200453553,0.030604248298618273
0,68,0.02035524439258395,0.02989819610644758,0.03057016920233186
0,70,0.028926447992517874,0.015374711250804715,0.016039610865092924
0,72,0.01967557825172725,0.034351145038167934,0.019504656893455288
0,74,0.01143105194617277,0.006004460456338994,0.025387629919918213
0,76,0.03442957586754366,0.022375138734739182,0.020784657320872278
0,80,0.010524991613552496,0.027516803446099004,0.026856240126382304
0,82,0.020973406924234824,0.019326207291467837,0.025818766325095437
0,86,0.009736203982658533,0.01942534950181509,0.03063408872813169
0,90,0.03063056719360631,0.02345745395886544,0.013664052771514152
0,99,0.023580008898116563,0.023435792051069042,0.022166004095892065
0,102,0.014868587921458872,0.01162694813226684,0.04437218609304653
0,104,0.0037363223912463307,0.02135483870967742,0.004607839910476253
0,105,0.025871323266299293,0.011055532545321312,0.006689758217875578
0,121,0.03591037245882178,0.008696046016576836,0.015858413282516318
0,122,0.027037412233206413,0.028057116272411697,0.021546826813828922
0,125,0.013244749249892841,0.02209264126149803,0.03418729444348278
0,129,0.006519619790397269,0.04671052631578948,0.01066839561475893
0,132,0.015627170440338935,0.02727662521850984,0.021093384954275415
0,134,0.010538401607413785,0.03254853729245366,0.02592780884595831
0,140,0.0046109960532999894,0.028016915873735084,0.006260226221811198
0,148,0.01571499094948165,0.006025460970416346,0.03525760397268776
0,154,0.009491866510145898,0.02436117634687511,0.019414753811109166
0,157,0.017158158052355283,0.02446970982521636,0.005127668480535789
0,160,0.003979255683486088,0.010868183551544426,0.01744493940998723
0,163,0.0315025716385011,0.03424080830760595,0.031800299737729486
0,169,0.01823746436357538,0.014962148264533638,0.019807868252516007
0,173,0.02635340916153894,0.017659352142110764,0.01316021385347512
0,175,0.035518590998043054,0.009719594013418202,0.040529241060449556
0,182,0.015827093260721577,0.011034320270164141,0.007797427652733121
0,187,0.017306139642644013,0.02526724975704567,0.02462852263023057
0,194,0.01875929700842929,0.013931602903186124,0.021732881044098203
0,199,0.011451080982044705,0.03244240460763139,0.014903335947953678
0,202,0.004118777703683364,0.019352366353707608,0.02050921991057241
0,207,0.01624010311176579,0.03063139629590283,0.008135617518457457
0,208,0.03705081121286784,0.016886567298599543,0.02317790855590765
