source,target,weight1,weight2
0,2,0.06221253933672234,0.06203383663816627
0,6,0.12650425594364542,0.02514506769825919
0,37,0.1985583224115334,0.08512374218112591
0,92,0.057111477210323995,0.23892540725921688
0,105,0.22644376899696048,0.15355269432522653
0,139,0.1916322314049587,0.2016100805040252
1,85,0.24319213313161875,0.19756690997566909
1,207,0.5887230514096186,0.6017857142857143
2,27,0.23539373412362405,0.2583697234352256
2,37,0.29456094364351243,0.06173511014413924
2,74,0.26299045599151644,0.23916292974588937
2,216,0.292175635523275,0.19212906379858224
3,36,0.4175548589341693,0.09965034965034965
3,40,0.2353946993445426,0.06824034334763948
3,41,0.06794802382241473,0.08358128212063835
3,117,0.05008183306055646,0.17189631650750342
3,188,0.15271105010295127,0.05749486652977413
4,55,0.2002058672156459,0.13769531249999997
4,184,0.10071599045346064,0.27048371174728536
5,13,0.18849721706864567,0.21191851626634237
5,38,0.06975806451612902,0.2603648424543947
5,49,0.11675726778539353,0.0880281690140845
5,118,0.10075250836120402,0.26443894389438943
5,195,0.13344690516751845,0.3927221172022684
6,31,0.051272984441301274,0.25007425007425005
6,36,0.08025078369905957,0.41433566433566427
6,71,0.09178511202119971,0.05143000501756147
6,106,0.12753458404396437,0.12563864375290293
7,59,0.09404617253948967,0.06860158311345645
7,153,0.75,0.19604316546762587
8,31,0.27581329561527584,0.1496881496881497
8,186,0.3344262295081967,0.5596707818930041
9,50,0.29607250755287007,0.13629629629629628
9,131,0.15987025023169602,0.10432156133828996
9,156,0.09172763083849185,0.3067506121021336
9,218,0.49723756906077354,0.36674259681093396
9,221,0.33373835560955845,0.289027149321267
10,75,0.21723834652594545,0.17531486146095715
10,76,0.2058690744920993,0.2131684248817752
10,84,0.09583660644147683,0.2768211920529801
10,117,0.2376432078559738,0.02755798090040928
10,138,0.24812542603953644,0.3140939597315436
10,191,0.34120734908136485,0.29461279461279466
11,29,0.3161999291031549,0.232937181663837
11,159,0.1773274224192527,0.08007718282682104
11,185,0.66625,0.22014925373134325
11,191,0.36010498687664044,0.14511784511784512
12,35,0.33364973896535355,0.4419778002018164
12,146,0.09421487603305785,0.2386008744534666
12,157,0.20670391061452512,0.19536903039073805
13,83,0.39224526600541026,0.5362853628536286
13,132,0.12731152204836413,0.1370896184560781
13,151,0.16662286465177395,0.22859346875803546
13,173,0.3742331288343559,0.5024271844660194
13,183,0.06410256410256411,0.15595794392523363
13,188,0.2796842827728208,0.16632443531827515
13,222,0.21600877192982457,0.346805024576734
14,65,0.474025974025974,0.24186046511627907
15,2,0.18542725732268214,0.09514280516645442
15,42,0.086810551558753,0.14374107567824845
15,110,0.15146094215861655,0.10657193605683837
15,131,0.06811862835959222,0.18099442379182157
15,140,0.08294930875576037,0.08054919908466819
15,156,0.2239729881823298,0.16928996152500875
15,208,0.1751497005988024,0.15317286652078776
16,128,0.12660944206008584,0.3519503546099291
16,178,0.12119420632574639,0.2038265306122449
17,24,0.17371001634368435,0.19471842188991412
17,113,0.35930183056619835,0.3098086124401914
17,125,0.18754525706010136,0.1680422581710135
17,129,0.20232500618352706,0.1381340579710145
17,162,0.11585993820803296,0.15875
17,197,0.30675088827477304,0.14755555555555555
17,204,0.2569281352747769,0.28073394495412846
17,218,0.19494869771112866,0.20197418375094914
18,3,0.4209891435464415,0.4650602409638554
18,29,0.08684863523573201,0.2529711375212224
18,58,0.20238713025428126,0.12824956672443674
18,107,0.13945578231292516,0.10584700716431708
18,221,0.3025516403402187,0.12217194570135748
19,0,0.10321361058601135,0.17987913259864916
19,217,0.36585365853658536,0.24134568503169188
20,5,0.25565610859728505,0.5244047619047619
20,152,0.2733249843456481,0.0861222668451584
21,51,0.24260679079956188,0.3223684210526315
21,106,0.1313246162592382,0.02786809103576405
22,64,0.08797032326444092,0.23470790378006873
